July 22, 2025   17:09:58
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.684V
ip = 3.886e-5A
Ap = 2.786e-6VA

Potential/V, Current/A

0.004, 1.311e-5
0.008, 1.231e-5
0.012, 1.158e-5
0.016, 1.088e-5
0.020, 1.057e-5
0.024, 1.027e-5
0.028, 1.028e-5
0.032, 1.007e-5
0.036, 9.382e-6
0.040, 9.194e-6
0.044, 8.994e-6
0.048, 8.711e-6
0.052, 8.452e-6
0.056, 8.076e-6
0.060, 8.111e-6
0.064, 8.134e-6
0.068, 8.182e-6
0.072, 8.040e-6
0.076, 8.099e-6
0.080, 8.052e-6
0.084, 8.005e-6
0.088, 8.040e-6
0.092, 8.111e-6
0.096, 8.205e-6
0.100, 8.205e-6
0.104, 8.264e-6
0.108, 8.452e-6
0.112, 8.688e-6
0.116, 8.664e-6
0.120, 8.805e-6
0.124, 8.853e-6
0.128, 9.229e-6
0.132, 9.206e-6
0.136, 9.229e-6
0.140, 9.500e-6
0.144, 9.559e-6
0.148, 9.665e-6
0.152, 9.853e-6
0.156, 1.004e-5
0.160, 1.021e-5
0.164, 1.024e-5
0.168, 1.027e-5
0.172, 1.036e-5
0.176, 1.044e-5
0.180, 1.055e-5
0.184, 1.044e-5
0.188, 1.061e-5
0.192, 1.062e-5
0.196, 1.063e-5
0.200, 1.069e-5
0.204, 1.071e-5
0.208, 1.047e-5
0.212, 1.044e-5
0.216, 1.037e-5
0.220, 1.037e-5
0.224, 1.023e-5
0.228, 1.012e-5
0.232, 1.001e-5
0.236, 9.936e-6
0.240, 9.841e-6
0.244, 9.629e-6
0.248, 9.571e-6
0.252, 9.512e-6
0.256, 9.335e-6
0.260, 9.170e-6
0.264, 9.194e-6
0.268, 9.006e-6
0.272, 8.970e-6
0.276, 8.829e-6
0.280, 8.629e-6
0.284, 8.664e-6
0.288, 8.417e-6
0.292, 8.287e-6
0.296, 8.217e-6
0.300, 8.217e-6
0.304, 8.028e-6
0.308, 7.958e-6
0.312, 7.758e-6
0.316, 7.758e-6
0.320, 7.722e-6
0.324, 7.581e-6
0.328, 7.452e-6
0.332, 7.593e-6
0.336, 7.369e-6
0.340, 7.204e-6
0.344, 7.110e-6
0.348, 7.040e-6
0.352, 6.945e-6
0.356, 6.910e-6
0.360, 6.828e-6
0.364, 6.792e-6
0.368, 6.781e-6
0.372, 6.734e-6
0.376, 6.675e-6
0.380, 6.592e-6
0.384, 6.557e-6
0.388, 6.322e-6
0.392, 6.404e-6
0.396, 6.310e-6
0.400, 6.251e-6
0.404, 6.133e-6
0.408, 6.098e-6
0.412, 6.015e-6
0.416, 6.004e-6
0.420, 5.804e-6
0.424, 5.910e-6
0.428, 5.651e-6
0.432, 5.733e-6
0.436, 5.592e-6
0.440, 5.450e-6
0.444, 5.698e-6
0.448, 5.509e-6
0.452, 5.439e-6
0.456, 5.321e-6
0.460, 5.415e-6
0.464, 5.262e-6
0.468, 5.439e-6
0.472, 5.309e-6
0.476, 5.344e-6
0.480, 5.262e-6
0.484, 5.074e-6
0.488, 5.003e-6
0.492, 5.097e-6
0.496, 4.932e-6
0.500, 5.062e-6
0.504, 5.050e-6
0.508, 5.097e-6
0.512, 5.015e-6
0.516, 4.956e-6
0.520, 5.003e-6
0.524, 4.956e-6
0.528, 5.062e-6
0.532, 5.038e-6
0.536, 5.062e-6
0.540, 5.262e-6
0.544, 5.227e-6
0.548, 5.333e-6
0.552, 5.439e-6
0.556, 5.603e-6
0.560, 5.968e-6
0.564, 6.098e-6
0.568, 6.416e-6
0.572, 6.898e-6
0.576, 7.416e-6
0.580, 7.958e-6
0.584, 8.664e-6
0.588, 9.665e-6
0.592, 1.061e-5
0.596, 1.209e-5
0.600, 1.390e-5
0.604, 1.589e-5
0.608, 1.862e-5
0.612, 2.192e-5
0.616, 2.604e-5
0.620, 3.164e-5
0.624, 3.847e-5
0.628, 4.697e-5
0.632, 5.745e-5
0.636, 6.920e-5
0.640, 8.233e-5
0.644, 9.645e-5
0.648, 1.093e-4
0.652, 1.197e-4
0.656, 1.267e-4
0.660, 1.293e-4
0.664, 1.329e-4
0.668, 1.344e-4
0.672, 1.354e-4
0.676, 1.365e-4
0.680, 1.377e-4
0.684, 1.378e-4
0.688, 1.367e-4
0.692, 1.359e-4
0.696, 1.353e-4
0.700, 1.345e-4
0.704, 1.335e-4
0.708, 1.347e-4
0.712, 1.330e-4
0.716, 1.337e-4
0.720, 1.337e-4
0.724, 1.335e-4
0.728, 1.334e-4
0.732, 1.338e-4
0.736, 1.345e-4
0.740, 1.343e-4
0.744, 1.341e-4
0.748, 1.348e-4
0.752, 1.330e-4
0.756, 1.318e-4
0.760, 1.307e-4
0.764, 1.298e-4
0.768, 1.282e-4
0.772, 1.273e-4
0.776, 1.249e-4
0.780, 1.232e-4
0.784, 1.221e-4
0.788, 1.205e-4
0.792, 1.194e-4
0.796, 1.183e-4
0.800, 1.170e-4
0.804, 1.156e-4
0.808, 1.149e-4
0.812, 1.135e-4
0.816, 1.133e-4
0.820, 1.120e-4
0.824, 1.107e-4
0.828, 1.091e-4
0.832, 1.087e-4
0.836, 1.076e-4
0.840, 1.068e-4
0.844, 1.051e-4
0.848, 1.033e-4
0.852, 1.013e-4
0.856, 9.965e-5
0.860, 9.767e-5
0.864, 9.556e-5
0.868, 9.303e-5
0.872, 9.107e-5
0.876, 8.854e-5
0.880, 8.628e-5
0.884, 8.510e-5
0.888, 8.113e-5
0.892, 7.845e-5
0.896, 7.621e-5
0.900, 7.381e-5
0.904, 7.156e-5
0.908, 6.930e-5
0.912, 6.702e-5
0.916, 6.478e-5
0.920, 6.262e-5
0.924, 6.039e-5
0.928, 5.835e-5
0.932, 5.600e-5
0.936, 5.369e-5
0.940, 5.177e-5
0.944, 4.937e-5
0.948, 4.778e-5
0.952, 4.511e-5
