July 22, 2025   15:04:33
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.544V
ip = 1.435e-4A
Ap = 2.175e-5VA

Potential/V, Current/A

0.004, 1.648e-7
0.008, 1.413e-7
0.012, 2.119e-7
0.016, 2.354e-7
0.020, 2.590e-7
0.024, 2.943e-7
0.028, 2.708e-7
0.032, 2.708e-7
0.036, 1.295e-7
0.040, 1.413e-7
0.044, 2.943e-7
0.048, 2.590e-7
0.052, 2.119e-7
0.056, 2.119e-7
0.060, 2.001e-7
0.064, 3.296e-7
0.068, 2.354e-7
0.072, 1.884e-7
0.076, 2.001e-7
0.080, 2.590e-7
0.084, 8.240e-8
0.088, 2.119e-7
0.092, 2.119e-7
0.096, 2.237e-7
0.100, 2.825e-7
0.104, -1.177e-8
0.108, 1.295e-7
0.112, 2.237e-7
0.116, 1.648e-7
0.120, 9.418e-8
0.124, 2.119e-7
0.128, 1.177e-7
0.132, 1.413e-7
0.136, 2.590e-7
0.140, 8.240e-8
0.144, 1.059e-7
0.148, 1.413e-7
0.152, 1.530e-7
0.156, 7.063e-8
0.160, 2.354e-7
0.164, 1.648e-7
0.168, 1.884e-7
0.172, 2.590e-7
0.176, 2.354e-7
0.180, 1.648e-7
0.184, 1.177e-7
0.188, 2.590e-7
0.192, 1.766e-7
0.196, 9.418e-8
0.200, 1.530e-7
0.204, 2.708e-7
0.208, 2.708e-7
0.212, 1.766e-7
0.216, 1.177e-7
0.220, 9.418e-8
0.224, 8.240e-8
0.228, 1.177e-7
0.232, 2.119e-7
0.236, 1.766e-7
0.240, 1.413e-7
0.244, 1.530e-7
0.248, 1.766e-7
0.252, 1.295e-7
0.256, 2.001e-7
0.260, 8.240e-8
0.264, 2.237e-7
0.268, 2.825e-7
0.272, 1.177e-7
0.276, 2.237e-7
0.280, 1.295e-7
0.284, 2.119e-7
0.288, 2.119e-7
0.292, 3.178e-7
0.296, 2.119e-7
0.300, 2.119e-7
0.304, 2.001e-7
0.308, 2.708e-7
0.312, 1.766e-7
0.316, 2.590e-7
0.320, 2.708e-7
0.324, 3.767e-7
0.328, 3.296e-7
0.332, 4.709e-7
0.336, 2.237e-7
0.340, 3.061e-7
0.344, 4.120e-7
0.348, 4.827e-7
0.352, 3.885e-7
0.356, 4.356e-7
0.360, 5.768e-7
0.364, 6.828e-7
0.368, 6.239e-7
0.372, 6.475e-7
0.376, 5.768e-7
0.380, 8.240e-7
0.384, 8.123e-7
0.388, 6.357e-7
0.392, 7.652e-7
0.396, 7.887e-7
0.400, 7.652e-7
0.404, 9.418e-7
0.408, 8.829e-7
0.412, 9.418e-7
0.416, 1.024e-6
0.420, 9.064e-7
0.424, 8.711e-7
0.428, 9.888e-7
0.432, 1.095e-6
0.436, 1.130e-6
0.440, 1.118e-6
0.444, 1.236e-6
0.448, 1.307e-6
0.452, 1.483e-6
0.456, 1.648e-6
0.460, 1.942e-6
0.464, 2.672e-6
0.468, 3.473e-6
0.472, 5.498e-6
0.476, 9.618e-6
0.480, 1.803e-5
0.484, 3.387e-5
0.488, 5.585e-5
0.492, 8.053e-5
0.496, 1.037e-4
0.500, 1.211e-4
0.504, 1.328e-4
0.508, 1.396e-4
0.512, 1.437e-4
0.516, 1.465e-4
0.520, 1.491e-4
0.524, 1.518e-4
0.528, 1.538e-4
0.532, 1.558e-4
0.536, 1.573e-4
0.540, 1.583e-4
0.544, 1.589e-4
0.548, 1.589e-4
0.552, 1.582e-4
0.556, 1.568e-4
0.560, 1.551e-4
0.564, 1.526e-4
0.568, 1.497e-4
0.572, 1.465e-4
0.576, 1.431e-4
0.580, 1.393e-4
0.584, 1.354e-4
0.588, 1.315e-4
0.592, 1.275e-4
0.596, 1.236e-4
0.600, 1.197e-4
0.604, 1.161e-4
0.608, 1.126e-4
0.612, 1.093e-4
0.616, 1.061e-4
0.620, 1.027e-4
0.624, 9.964e-5
0.628, 9.648e-5
0.632, 9.345e-5
0.636, 9.061e-5
0.640, 8.787e-5
0.644, 8.526e-5
0.648, 8.266e-5
0.652, 8.034e-5
0.656, 7.802e-5
0.660, 7.576e-5
0.664, 7.360e-5
0.668, 7.170e-5
0.672, 6.967e-5
0.676, 6.785e-5
0.680, 6.618e-5
0.684, 6.442e-5
0.688, 6.296e-5
0.692, 6.150e-5
0.696, 5.997e-5
0.700, 5.853e-5
0.704, 5.734e-5
0.708, 5.582e-5
0.712, 5.459e-5
0.716, 5.317e-5
0.720, 5.198e-5
0.724, 5.050e-5
0.728, 4.927e-5
0.732, 4.809e-5
0.736, 4.663e-5
0.740, 4.539e-5
0.744, 4.391e-5
0.748, 4.281e-5
0.752, 4.130e-5
0.756, 4.005e-5
0.760, 3.887e-5
0.764, 3.765e-5
0.768, 3.658e-5
0.772, 3.534e-5
0.776, 3.422e-5
0.780, 3.326e-5
0.784, 3.216e-5
0.788, 3.102e-5
0.792, 3.014e-5
0.796, 2.921e-5
0.800, 2.821e-5
0.804, 2.739e-5
0.808, 2.655e-5
0.812, 2.593e-5
0.816, 2.502e-5
0.820, 2.459e-5
0.824, 2.356e-5
0.828, 2.323e-5
0.832, 2.270e-5
0.836, 2.204e-5
0.840, 2.157e-5
0.844, 2.138e-5
0.848, 2.079e-5
0.852, 2.047e-5
0.856, 2.001e-5
0.860, 1.961e-5
0.864, 1.941e-5
0.868, 1.924e-5
0.872, 1.894e-5
0.876, 1.880e-5
0.880, 1.860e-5
0.884, 1.829e-5
0.888, 1.814e-5
0.892, 1.807e-5
0.896, 1.799e-5
0.900, 1.768e-5
0.904, 1.775e-5
0.908, 1.760e-5
0.912, 1.749e-5
0.916, 1.742e-5
0.920, 1.745e-5
0.924, 1.725e-5
0.928, 1.727e-5
0.932, 1.725e-5
0.936, 1.729e-5
0.940, 1.721e-5
0.944, 1.728e-5
0.948, 1.729e-5
0.952, 1.719e-5
0.956, 1.725e-5
0.960, 1.729e-5
0.964, 1.715e-5
0.968, 1.723e-5
0.972, 1.739e-5
0.976, 1.755e-5
0.980, 1.765e-5
0.984, 1.747e-5
0.988, 1.760e-5
0.992, 1.769e-5
0.996, 1.753e-5
1.000, 1.769e-5
