July 25, 2025   09:58:08
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.644V
ip = 1.105e-5A
Ap = 1.048e-6VA

Potential/V, Current/A

0.004, 6.239e-6
0.008, 5.933e-6
0.012, 5.839e-6
0.016, 5.627e-6
0.020, 5.556e-6
0.024, 5.486e-6
0.028, 5.227e-6
0.032, 5.121e-6
0.036, 5.038e-6
0.040, 4.827e-6
0.044, 4.944e-6
0.048, 4.744e-6
0.052, 4.697e-6
0.056, 4.520e-6
0.060, 4.756e-6
0.064, 4.556e-6
0.068, 4.591e-6
0.072, 4.568e-6
0.076, 4.367e-6
0.080, 4.226e-6
0.084, 4.356e-6
0.088, 4.297e-6
0.092, 4.297e-6
0.096, 4.273e-6
0.100, 4.097e-6
0.104, 4.120e-6
0.108, 4.026e-6
0.112, 3.932e-6
0.116, 3.932e-6
0.120, 3.767e-6
0.124, 3.932e-6
0.128, 3.885e-6
0.132, 3.838e-6
0.136, 3.802e-6
0.140, 3.826e-6
0.144, 3.543e-6
0.148, 3.426e-6
0.152, 3.626e-6
0.156, 3.485e-6
0.160, 3.532e-6
0.164, 3.367e-6
0.168, 3.367e-6
0.172, 3.461e-6
0.176, 3.308e-6
0.180, 3.178e-6
0.184, 3.096e-6
0.188, 3.143e-6
0.192, 3.131e-6
0.196, 3.014e-6
0.200, 2.978e-6
0.204, 2.990e-6
0.208, 2.955e-6
0.212, 2.755e-6
0.216, 2.825e-6
0.220, 2.708e-6
0.224, 2.602e-6
0.228, 2.590e-6
0.232, 2.519e-6
0.236, 2.543e-6
0.240, 2.237e-6
0.244, 2.437e-6
0.248, 2.460e-6
0.252, 2.543e-6
0.256, 2.531e-6
0.260, 2.284e-6
0.264, 2.331e-6
0.268, 2.296e-6
0.272, 2.178e-6
0.276, 2.272e-6
0.280, 2.166e-6
0.284, 2.213e-6
0.288, 2.413e-6
0.292, 2.095e-6
0.296, 2.060e-6
0.300, 2.107e-6
0.304, 2.131e-6
0.308, 1.978e-6
0.312, 2.095e-6
0.316, 2.272e-6
0.320, 2.260e-6
0.324, 1.954e-6
0.328, 2.131e-6
0.332, 2.072e-6
0.336, 2.107e-6
0.340, 2.131e-6
0.344, 1.719e-6
0.348, 1.907e-6
0.352, 2.154e-6
0.356, 1.872e-6
0.360, 2.119e-6
0.364, 2.190e-6
0.368, 1.836e-6
0.372, 1.801e-6
0.376, 1.884e-6
0.380, 1.872e-6
0.384, 1.942e-6
0.388, 1.789e-6
0.392, 1.919e-6
0.396, 1.825e-6
0.400, 1.989e-6
0.404, 2.025e-6
0.408, 1.848e-6
0.412, 1.884e-6
0.416, 1.860e-6
0.420, 1.577e-6
0.424, 1.825e-6
0.428, 1.801e-6
0.432, 1.754e-6
0.436, 1.707e-6
0.440, 1.613e-6
0.444, 1.672e-6
0.448, 1.754e-6
0.452, 1.566e-6
0.456, 1.683e-6
0.460, 1.683e-6
0.464, 1.778e-6
0.468, 1.919e-6
0.472, 1.813e-6
0.476, 1.848e-6
0.480, 1.801e-6
0.484, 1.966e-6
0.488, 1.872e-6
0.492, 1.919e-6
0.496, 1.778e-6
0.500, 1.942e-6
0.504, 1.707e-6
0.508, 1.789e-6
0.512, 1.848e-6
0.516, 1.860e-6
0.520, 1.919e-6
0.524, 2.142e-6
0.528, 2.331e-6
0.532, 2.307e-6
0.536, 2.201e-6
0.540, 2.496e-6
0.544, 2.566e-6
0.548, 2.849e-6
0.552, 2.872e-6
0.556, 3.237e-6
0.560, 3.449e-6
0.564, 3.638e-6
0.568, 3.897e-6
0.572, 4.556e-6
0.576, 4.850e-6
0.580, 5.392e-6
0.584, 5.886e-6
0.588, 6.734e-6
0.592, 7.134e-6
0.596, 8.087e-6
0.600, 8.982e-6
0.604, 9.888e-6
0.608, 1.095e-5
0.612, 1.205e-5
0.616, 1.284e-5
0.620, 1.400e-5
0.624, 1.474e-5
0.628, 1.546e-5
0.632, 1.610e-5
0.636, 1.662e-5
0.640, 1.682e-5
0.644, 1.701e-5
0.648, 1.695e-5
0.652, 1.686e-5
0.656, 1.665e-5
0.660, 1.629e-5
0.664, 1.559e-5
0.668, 1.530e-5
0.672, 1.486e-5
0.676, 1.428e-5
0.680, 1.386e-5
0.684, 1.369e-5
0.688, 1.320e-5
0.692, 1.290e-5
0.696, 1.267e-5
0.700, 1.241e-5
0.704, 1.209e-5
0.708, 1.182e-5
0.712, 1.165e-5
0.716, 1.165e-5
0.720, 1.142e-5
0.724, 1.111e-5
0.728, 1.098e-5
0.732, 1.092e-5
0.736, 1.068e-5
0.740, 1.072e-5
0.744, 1.063e-5
0.748, 1.056e-5
0.752, 1.035e-5
0.756, 1.038e-5
0.760, 1.015e-5
0.764, 1.023e-5
0.768, 1.009e-5
0.772, 9.959e-6
0.776, 9.994e-6
0.780, 1.012e-5
0.784, 9.900e-6
0.788, 9.924e-6
0.792, 9.688e-6
0.796, 9.853e-6
0.800, 9.571e-6
0.804, 9.747e-6
0.808, 9.441e-6
0.812, 9.535e-6
0.816, 9.253e-6
0.820, 9.288e-6
0.824, 9.253e-6
0.828, 9.088e-6
0.832, 9.182e-6
0.836, 8.923e-6
0.840, 8.747e-6
0.844, 8.911e-6
0.848, 8.570e-6
0.852, 8.535e-6
0.856, 8.441e-6
0.860, 8.699e-6
0.864, 8.476e-6
0.868, 8.311e-6
0.872, 8.335e-6
0.876, 8.170e-6
0.880, 7.946e-6
0.884, 8.182e-6
0.888, 7.899e-6
0.892, 7.993e-6
0.896, 7.781e-6
0.900, 7.581e-6
0.904, 7.699e-6
0.908, 7.781e-6
0.912, 7.487e-6
0.916, 7.511e-6
0.920, 7.322e-6
0.924, 7.416e-6
0.928, 7.393e-6
0.932, 7.416e-6
0.936, 7.216e-6
0.940, 7.334e-6
0.944, 7.228e-6
0.948, 7.169e-6
0.952, 7.051e-6
0.956, 7.146e-6
0.960, 6.910e-6
0.964, 6.981e-6
0.968, 6.981e-6
0.972, 7.004e-6
0.976, 7.040e-6
0.980, 6.840e-6
0.984, 7.063e-6
0.988, 6.981e-6
0.992, 7.016e-6
0.996, 6.993e-6
1.000, 7.216e-6
