July 25, 2025   11:44:15
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.548V
ip = 2.405e-5A
Ap = 2.159e-6VA

Potential/V, Current/A

0.004, 1.362e-5
0.008, 1.241e-5
0.012, 1.197e-5
0.016, 1.125e-5
0.020, 1.062e-5
0.024, 1.023e-5
0.028, 9.959e-6
0.032, 9.641e-6
0.036, 9.641e-6
0.040, 9.441e-6
0.044, 8.900e-6
0.048, 8.782e-6
0.052, 8.711e-6
0.056, 8.287e-6
0.060, 7.923e-6
0.064, 7.675e-6
0.068, 7.864e-6
0.072, 7.569e-6
0.076, 7.228e-6
0.080, 7.252e-6
0.084, 6.922e-6
0.088, 6.651e-6
0.092, 6.840e-6
0.096, 6.757e-6
0.100, 6.392e-6
0.104, 5.992e-6
0.108, 6.121e-6
0.112, 6.074e-6
0.116, 5.839e-6
0.120, 5.580e-6
0.124, 5.603e-6
0.128, 5.651e-6
0.132, 5.415e-6
0.136, 5.250e-6
0.140, 5.262e-6
0.144, 5.121e-6
0.148, 4.968e-6
0.152, 4.944e-6
0.156, 4.709e-6
0.160, 4.932e-6
0.164, 4.815e-6
0.168, 4.615e-6
0.172, 4.344e-6
0.176, 4.615e-6
0.180, 4.673e-6
0.184, 4.462e-6
0.188, 4.379e-6
0.192, 4.108e-6
0.196, 4.226e-6
0.200, 4.073e-6
0.204, 3.979e-6
0.208, 4.297e-6
0.212, 4.203e-6
0.216, 4.026e-6
0.220, 4.203e-6
0.224, 3.967e-6
0.228, 3.708e-6
0.232, 3.755e-6
0.236, 3.732e-6
0.240, 3.649e-6
0.244, 3.567e-6
0.248, 3.673e-6
0.252, 3.755e-6
0.256, 3.696e-6
0.260, 3.496e-6
0.264, 3.708e-6
0.268, 3.402e-6
0.272, 3.508e-6
0.276, 3.331e-6
0.280, 3.437e-6
0.284, 3.402e-6
0.288, 3.284e-6
0.292, 3.331e-6
0.296, 3.308e-6
0.300, 3.414e-6
0.304, 3.343e-6
0.308, 3.331e-6
0.312, 3.214e-6
0.316, 3.367e-6
0.320, 3.261e-6
0.324, 3.072e-6
0.328, 2.967e-6
0.332, 3.049e-6
0.336, 3.167e-6
0.340, 3.202e-6
0.344, 3.049e-6
0.348, 3.084e-6
0.352, 3.261e-6
0.356, 3.108e-6
0.360, 3.061e-6
0.364, 3.237e-6
0.368, 3.167e-6
0.372, 3.155e-6
0.376, 3.014e-6
0.380, 3.155e-6
0.384, 3.131e-6
0.388, 3.084e-6
0.392, 3.190e-6
0.396, 3.061e-6
0.400, 3.108e-6
0.404, 3.131e-6
0.408, 3.178e-6
0.412, 3.084e-6
0.416, 3.284e-6
0.420, 3.120e-6
0.424, 3.261e-6
0.428, 3.461e-6
0.432, 3.308e-6
0.436, 3.532e-6
0.440, 3.673e-6
0.444, 3.743e-6
0.448, 3.979e-6
0.452, 4.167e-6
0.456, 4.426e-6
0.460, 4.509e-6
0.464, 5.003e-6
0.468, 5.486e-6
0.472, 5.827e-6
0.476, 6.416e-6
0.480, 7.240e-6
0.484, 7.993e-6
0.488, 8.994e-6
0.492, 1.027e-5
0.496, 1.194e-5
0.500, 1.342e-5
0.504, 1.548e-5
0.508, 1.800e-5
0.512, 2.049e-5
0.516, 2.337e-5
0.520, 2.643e-5
0.524, 2.948e-5
0.528, 3.224e-5
0.532, 3.439e-5
0.536, 3.602e-5
0.540, 3.714e-5
0.544, 3.807e-5
0.548, 3.844e-5
0.552, 3.829e-5
0.556, 3.779e-5
0.560, 3.700e-5
0.564, 3.633e-5
0.568, 3.522e-5
0.572, 3.435e-5
0.576, 3.367e-5
0.580, 3.294e-5
0.584, 3.230e-5
0.588, 3.194e-5
0.592, 3.178e-5
0.596, 3.127e-5
0.600, 3.068e-5
0.604, 3.021e-5
0.608, 2.997e-5
0.612, 2.962e-5
0.616, 2.918e-5
0.620, 2.862e-5
0.624, 2.842e-5
0.628, 2.793e-5
0.632, 2.731e-5
0.636, 2.704e-5
0.640, 2.675e-5
0.644, 2.656e-5
0.648, 2.624e-5
0.652, 2.573e-5
0.656, 2.570e-5
0.660, 2.565e-5
0.664, 2.523e-5
0.668, 2.518e-5
0.672, 2.504e-5
0.676, 2.499e-5
0.680, 2.504e-5
0.684, 2.474e-5
0.688, 2.469e-5
0.692, 2.459e-5
0.696, 2.437e-5
0.700, 2.447e-5
0.704, 2.429e-5
0.708, 2.394e-5
0.712, 2.397e-5
0.716, 2.379e-5
0.720, 2.359e-5
0.724, 2.326e-5
0.728, 2.288e-5
0.732, 2.280e-5
0.736, 2.239e-5
0.740, 2.215e-5
0.744, 2.158e-5
0.748, 2.128e-5
0.752, 2.072e-5
0.756, 2.032e-5
0.760, 1.975e-5
0.764, 1.932e-5
0.768, 1.878e-5
0.772, 1.828e-5
0.776, 1.800e-5
0.780, 1.771e-5
0.784, 1.698e-5
0.788, 1.669e-5
0.792, 1.627e-5
0.796, 1.589e-5
0.800, 1.567e-5
0.804, 1.502e-5
0.808, 1.476e-5
0.812, 1.468e-5
0.816, 1.422e-5
0.820, 1.406e-5
0.824, 1.397e-5
0.828, 1.362e-5
0.832, 1.342e-5
0.836, 1.303e-5
0.840, 1.308e-5
0.844, 1.284e-5
0.848, 1.262e-5
0.852, 1.264e-5
0.856, 1.271e-5
0.860, 1.277e-5
0.864, 1.256e-5
0.868, 1.217e-5
0.872, 1.244e-5
0.876, 1.236e-5
0.880, 1.245e-5
0.884, 1.250e-5
0.888, 1.229e-5
0.892, 1.251e-5
0.896, 1.260e-5
0.900, 1.249e-5
0.904, 1.247e-5
0.908, 1.253e-5
0.912, 1.278e-5
0.916, 1.288e-5
0.920, 1.295e-5
0.924, 1.303e-5
0.928, 1.307e-5
0.932, 1.308e-5
0.936, 1.337e-5
0.940, 1.338e-5
0.944, 1.336e-5
0.948, 1.343e-5
0.952, 1.338e-5
0.956, 1.361e-5
0.960, 1.356e-5
0.964, 1.346e-5
0.968, 1.346e-5
0.972, 1.374e-5
0.976, 1.346e-5
0.980, 1.355e-5
0.984, 1.351e-5
0.988, 1.362e-5
0.992, 1.367e-5
0.996, 1.369e-5
1.000, 1.381e-5
