July 22, 2025   11:16:35
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.224V
ip = 3.997e-6A
Ap = 7.374e-7VA

Ep = 0.736V
ip = 6.074e-5A
Ap = 5.352e-6VA

Potential/V, Current/A

0.004, 1.913e-5
0.008, 1.660e-5
0.012, 1.502e-5
0.016, 1.401e-5
0.020, 1.303e-5
0.024, 1.233e-5
0.028, 1.177e-5
0.032, 1.142e-5
0.036, 1.096e-5
0.040, 1.070e-5
0.044, 1.059e-5
0.048, 1.062e-5
0.052, 1.059e-5
0.056, 1.045e-5
0.060, 1.059e-5
0.064, 1.064e-5
0.068, 1.056e-5
0.072, 1.067e-5
0.076, 1.055e-5
0.080, 1.067e-5
0.084, 1.059e-5
0.088, 1.044e-5
0.092, 1.069e-5
0.096, 1.067e-5
0.100, 1.067e-5
0.104, 1.074e-5
0.108, 1.068e-5
0.112, 1.069e-5
0.116, 1.069e-5
0.120, 1.085e-5
0.124, 1.101e-5
0.128, 1.104e-5
0.132, 1.101e-5
0.136, 1.101e-5
0.140, 1.129e-5
0.144, 1.129e-5
0.148, 1.138e-5
0.152, 1.145e-5
0.156, 1.154e-5
0.160, 1.175e-5
0.164, 1.169e-5
0.168, 1.172e-5
0.172, 1.184e-5
0.176, 1.200e-5
0.180, 1.198e-5
0.184, 1.198e-5
0.188, 1.214e-5
0.192, 1.216e-5
0.196, 1.211e-5
0.200, 1.214e-5
0.204, 1.242e-5
0.208, 1.244e-5
0.212, 1.241e-5
0.216, 1.224e-5
0.220, 1.227e-5
0.224, 1.245e-5
0.228, 1.227e-5
0.232, 1.225e-5
0.236, 1.231e-5
0.240, 1.205e-5
0.244, 1.213e-5
0.248, 1.191e-5
0.252, 1.187e-5
0.256, 1.183e-5
0.260, 1.164e-5
0.264, 1.149e-5
0.268, 1.145e-5
0.272, 1.132e-5
0.276, 1.127e-5
0.280, 1.096e-5
0.284, 1.105e-5
0.288, 1.078e-5
0.292, 1.054e-5
0.296, 1.038e-5
0.300, 1.030e-5
0.304, 1.028e-5
0.308, 9.865e-6
0.312, 9.653e-6
0.316, 9.524e-6
0.320, 9.465e-6
0.324, 9.100e-6
0.328, 9.006e-6
0.332, 8.958e-6
0.336, 8.758e-6
0.340, 8.476e-6
0.344, 8.393e-6
0.348, 8.417e-6
0.352, 7.981e-6
0.356, 7.946e-6
0.360, 7.840e-6
0.364, 7.852e-6
0.368, 7.546e-6
0.372, 7.346e-6
0.376, 7.146e-6
0.380, 7.263e-6
0.384, 7.075e-6
0.388, 6.781e-6
0.392, 6.604e-6
0.396, 6.792e-6
0.400, 6.463e-6
0.404, 6.322e-6
0.408, 6.074e-6
0.412, 6.074e-6
0.416, 5.874e-6
0.420, 5.827e-6
0.424, 5.603e-6
0.428, 5.509e-6
0.432, 5.321e-6
0.436, 5.297e-6
0.440, 5.321e-6
0.444, 5.085e-6
0.448, 5.050e-6
0.452, 4.897e-6
0.456, 4.709e-6
0.460, 4.827e-6
0.464, 4.615e-6
0.468, 4.485e-6
0.472, 4.403e-6
0.476, 4.450e-6
0.480, 4.238e-6
0.484, 4.214e-6
0.488, 4.085e-6
0.492, 4.050e-6
0.496, 4.120e-6
0.500, 3.814e-6
0.504, 3.732e-6
0.508, 3.838e-6
0.512, 3.826e-6
0.516, 3.661e-6
0.520, 3.661e-6
0.524, 3.743e-6
0.528, 3.532e-6
0.532, 3.543e-6
0.536, 3.555e-6
0.540, 3.449e-6
0.544, 3.449e-6
0.548, 3.543e-6
0.552, 3.555e-6
0.556, 3.426e-6
0.560, 3.626e-6
0.564, 3.673e-6
0.568, 3.520e-6
0.572, 3.814e-6
0.576, 3.791e-6
0.580, 3.920e-6
0.584, 4.203e-6
0.588, 4.367e-6
0.592, 4.520e-6
0.596, 4.909e-6
0.600, 5.356e-6
0.604, 5.851e-6
0.608, 6.628e-6
0.612, 7.452e-6
0.616, 8.488e-6
0.620, 1.017e-5
0.624, 1.221e-5
0.628, 1.502e-5
0.632, 1.854e-5
0.636, 2.304e-5
0.640, 2.786e-5
0.644, 3.354e-5
0.648, 3.998e-5
0.652, 4.665e-5
0.656, 5.370e-5
0.660, 6.073e-5
0.664, 6.872e-5
0.668, 7.682e-5
0.672, 8.479e-5
0.676, 9.256e-5
0.680, 9.991e-5
0.684, 1.066e-4
0.688, 1.127e-4
0.692, 1.177e-4
0.696, 1.221e-4
0.700, 1.264e-4
0.704, 1.308e-4
0.708, 1.351e-4
0.712, 1.398e-4
0.716, 1.450e-4
0.720, 1.499e-4
0.724, 1.539e-4
0.728, 1.570e-4
0.732, 1.589e-4
0.736, 1.596e-4
0.740, 1.590e-4
0.744, 1.576e-4
0.748, 1.560e-4
0.752, 1.540e-4
0.756, 1.522e-4
0.760, 1.508e-4
0.764, 1.495e-4
0.768, 1.482e-4
0.772, 1.469e-4
0.776, 1.461e-4
0.780, 1.450e-4
0.784, 1.442e-4
0.788, 1.431e-4
0.792, 1.423e-4
0.796, 1.413e-4
0.800, 1.406e-4
0.804, 1.398e-4
0.808, 1.393e-4
0.812, 1.390e-4
0.816, 1.387e-4
0.820, 1.386e-4
0.824, 1.388e-4
0.828, 1.397e-4
0.832, 1.406e-4
0.836, 1.416e-4
0.840, 1.433e-4
0.844, 1.452e-4
0.848, 1.474e-4
0.852, 1.497e-4
0.856, 1.523e-4
0.860, 1.548e-4
0.864, 1.576e-4
0.868, 1.606e-4
0.872, 1.636e-4
0.876, 1.669e-4
0.880, 1.700e-4
0.884, 1.737e-4
0.888, 1.767e-4
0.892, 1.799e-4
0.896, 1.829e-4
0.900, 1.860e-4
0.904, 1.888e-4
0.908, 1.915e-4
0.912, 1.937e-4
0.916, 1.956e-4
0.920, 1.971e-4
0.924, 1.984e-4
0.928, 1.991e-4
0.932, 1.996e-4
0.936, 1.999e-4
0.940, 1.995e-4
0.944, 1.992e-4
0.948, 1.982e-4
0.952, 1.976e-4
0.956, 1.967e-4
0.960, 1.954e-4
0.964, 1.934e-4
0.968, 1.911e-4
0.972, 1.883e-4
0.976, 1.841e-4
0.980, 1.789e-4
0.984, 1.725e-4
0.988, 1.653e-4
0.992, 1.567e-4
0.996, 1.480e-4
1.000, 1.394e-4
