July 22, 2025   09:57:56
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.108V
ip = 1.566e-6A
Ap = 2.343e-7VA

Ep = 0.784V
ip = 8.600e-5A
Ap = 1.123e-5VA

Potential/V, Current/A

0.004, 1.740e-5
0.008, 1.579e-5
0.012, 1.466e-5
0.016, 1.376e-5
0.020, 1.307e-5
0.024, 1.250e-5
0.028, 1.207e-5
0.032, 1.169e-5
0.036, 1.156e-5
0.040, 1.134e-5
0.044, 1.129e-5
0.048, 1.117e-5
0.052, 1.088e-5
0.056, 1.076e-5
0.060, 1.071e-5
0.064, 1.064e-5
0.068, 1.052e-5
0.072, 1.050e-5
0.076, 1.048e-5
0.080, 1.055e-5
0.084, 1.064e-5
0.088, 1.082e-5
0.092, 1.089e-5
0.096, 1.103e-5
0.100, 1.114e-5
0.104, 1.115e-5
0.108, 1.120e-5
0.112, 1.118e-5
0.116, 1.090e-5
0.120, 1.074e-5
0.124, 1.079e-5
0.128, 1.071e-5
0.132, 1.037e-5
0.136, 1.039e-5
0.140, 1.034e-5
0.144, 1.022e-5
0.148, 1.016e-5
0.152, 1.005e-5
0.156, 9.971e-6
0.160, 9.888e-6
0.164, 9.747e-6
0.168, 9.688e-6
0.172, 9.818e-6
0.176, 9.665e-6
0.180, 9.559e-6
0.184, 9.347e-6
0.188, 9.312e-6
0.192, 9.265e-6
0.196, 9.088e-6
0.200, 9.064e-6
0.204, 8.853e-6
0.208, 8.688e-6
0.212, 8.417e-6
0.216, 8.182e-6
0.220, 8.028e-6
0.224, 7.817e-6
0.228, 7.346e-6
0.232, 7.440e-6
0.236, 7.146e-6
0.240, 6.957e-6
0.244, 6.522e-6
0.248, 6.416e-6
0.252, 6.180e-6
0.256, 5.945e-6
0.260, 5.780e-6
0.264, 5.686e-6
0.268, 5.297e-6
0.272, 5.085e-6
0.276, 4.897e-6
0.280, 4.968e-6
0.284, 4.697e-6
0.288, 4.544e-6
0.292, 4.414e-6
0.296, 4.320e-6
0.300, 4.203e-6
0.304, 4.061e-6
0.308, 3.991e-6
0.312, 3.897e-6
0.316, 3.861e-6
0.320, 3.661e-6
0.324, 3.743e-6
0.328, 3.626e-6
0.332, 3.661e-6
0.336, 3.590e-6
0.340, 3.520e-6
0.344, 3.508e-6
0.348, 3.402e-6
0.352, 3.390e-6
0.356, 3.320e-6
0.360, 3.331e-6
0.364, 3.379e-6
0.368, 3.379e-6
0.372, 3.296e-6
0.376, 3.390e-6
0.380, 3.202e-6
0.384, 3.320e-6
0.388, 3.084e-6
0.392, 3.037e-6
0.396, 3.226e-6
0.400, 3.096e-6
0.404, 3.178e-6
0.408, 3.096e-6
0.412, 3.072e-6
0.416, 2.990e-6
0.420, 2.978e-6
0.424, 2.931e-6
0.428, 3.025e-6
0.432, 2.884e-6
