July 22, 2025   21:44:13
Differential Pulse Voltammetry
File: e:\Data Source:  Experiment
Instrument Model:  CHI620E
Header: 
Note: 

Init E (V) = 0
Final E (V) = 1
Incr E (V) = 0.004
Amplitude (V) = 0.05
Pulse Width (sec) = 0.05
Sample Width (sec) = 0.0167
Pulse Period (sec) = 0.5
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.01

Results:

Channel 1:
Ep = 0.780V
ip = 5.941e-6A
Ap = 6.043e-7VA

Potential/V, Current/A

0.004, 4.438e-6
0.008, 4.156e-6
0.012, 3.991e-6
0.016, 3.555e-6
0.020, 3.532e-6
0.024, 3.426e-6
0.028, 3.155e-6
0.032, 3.014e-6
0.036, 2.755e-6
0.040, 2.672e-6
0.044, 2.719e-6
0.048, 2.766e-6
0.052, 2.566e-6
0.056, 2.507e-6
0.060, 2.660e-6
0.064, 2.507e-6
0.068, 2.449e-6
0.072, 2.366e-6
0.076, 2.213e-6
0.080, 1.860e-6
0.084, 1.554e-6
0.088, 1.483e-6
0.092, 1.283e-6
0.096, 1.236e-6
0.100, 1.260e-6
0.104, 1.012e-6
0.108, 1.071e-6
0.112, 9.653e-7
0.116, 1.236e-6
0.120, 1.107e-6
0.124, 1.224e-6
0.128, 1.295e-6
0.132, 1.095e-6
0.136, 1.142e-6
0.140, 1.283e-6
0.144, 1.177e-6
0.148, 1.036e-6
0.152, 9.888e-7
0.156, 1.071e-6
0.160, 9.771e-7
0.164, 1.130e-6
0.168, 1.001e-6
0.172, 9.535e-7
0.176, 1.236e-6
0.180, 1.142e-6
0.184, 1.036e-6
0.188, 1.012e-6
0.192, 9.535e-7
0.196, 1.048e-6
0.200, 8.594e-7
0.204, 1.012e-6
0.208, 1.012e-6
0.212, 1.059e-6
0.216, 8.594e-7
0.220, 9.182e-7
0.224, 1.001e-6
0.228, 9.535e-7
0.232, 8.594e-7
0.236, 8.358e-7
0.240, 9.300e-7
0.244, 9.064e-7
0.248, 6.710e-7
0.252, 8.711e-7
0.256, 8.947e-7
0.260, 6.828e-7
0.264, 7.770e-7
0.268, 6.004e-7
0.272, 8.947e-7
0.276, 9.300e-7
0.280, 7.534e-7
0.284, 8.123e-7
0.288, 7.416e-7
0.292, 7.299e-7
0.296, 7.416e-7
0.300, 7.534e-7
0.304, 6.828e-7
0.308, 6.945e-7
0.312, 4.591e-7
0.316, 6.357e-7
0.320, 7.063e-7
0.324, 6.004e-7
0.328, 6.710e-7
0.332, 7.770e-7
0.336, 5.768e-7
0.340, 6.475e-7
0.344, 6.710e-7
0.348, 6.828e-7
0.352, 6.828e-7
0.356, 6.357e-7
0.360, 6.121e-7
0.364, 8.358e-7
0.368, 7.534e-7
0.372, 6.357e-7
0.376, 5.651e-7
0.380, 6.121e-7
0.384, 6.357e-7
0.388, 6.004e-7
0.392, 7.652e-7
0.396, 6.121e-7
0.400, 6.121e-7
0.404, 6.121e-7
0.408, 6.357e-7
0.412, 6.475e-7
0.416, 5.886e-7
0.420, 6.357e-7
0.424, 5.062e-7
0.428, 4.827e-7
0.432, 6.121e-7
0.436, 5.886e-7
0.440, 5.651e-7
0.444, 5.886e-7
0.448, 6.357e-7
0.452, 4.591e-7
0.456, 5.180e-7
0.460, 6.121e-7
0.464, 5.415e-7
0.468, 7.416e-7
0.472, 4.827e-7
0.476, 6.475e-7
0.480, 6.121e-7
0.484, 4.944e-7
0.488, 4.709e-7
0.492, 5.297e-7
0.496, 6.592e-7
0.500, 6.357e-7
0.504, 5.650e-7
0.508, 5.651e-7
0.512, 5.180e-7
0.516, 4.944e-7
0.520, 4.826e-7
0.524, 5.297e-7
0.528, 4.709e-7
0.532, 6.004e-7
0.536, 5.533e-7
0.540, 5.415e-7
0.544, 4.827e-7
0.548, 5.651e-7
0.552, 5.651e-7
0.556, 4.591e-7
0.560, 5.886e-7
0.564, 5.886e-7
0.568, 5.533e-7
0.572, 4.944e-7
0.576, 5.651e-7
0.580, 5.651e-7
0.584, 5.886e-7
0.588, 7.534e-7
0.592, 5.768e-7
0.596, 4.356e-7
0.600, 5.886e-7
0.604, 7.416e-7
0.608, 7.181e-7
0.612, 5.415e-7
0.616, 5.886e-7
0.620, 5.886e-7
0.624, 7.063e-7
0.628, 5.297e-7
0.632, 6.239e-7
0.636, 5.415e-7
0.640, 6.121e-7
0.644, 5.297e-7
0.648, 5.886e-7
0.652, 6.121e-7
0.656, 5.533e-7
0.660, 6.828e-7
0.664, 6.710e-7
0.668, 7.534e-7
0.672, 8.005e-7
0.676, 6.828e-7
0.680, 7.181e-7
0.684, 7.063e-7
0.688, 8.005e-7
0.692, 8.711e-7
0.696, 7.652e-7
0.700, 1.083e-6
0.704, 1.036e-6
0.708, 9.888e-7
0.712, 1.318e-6
0.716, 1.248e-6
0.720, 1.613e-6
0.724, 1.672e-6
0.728, 1.907e-6
0.732, 2.237e-6
0.736, 2.543e-6
0.740, 2.849e-6
0.744, 3.308e-6
0.748, 3.614e-6
0.752, 4.167e-6
0.756, 4.732e-6
0.760, 5.462e-6
0.764, 6.227e-6
0.768, 6.910e-6
0.772, 7.405e-6
0.776, 7.864e-6
0.780, 7.958e-6
0.784, 7.805e-6
0.788, 7.616e-6
0.792, 7.393e-6
0.796, 7.216e-6
0.800, 6.993e-6
0.804, 6.792e-6
0.808, 6.569e-6
0.812, 6.404e-6
0.816, 6.298e-6
0.820, 6.098e-6
